Layer,Name,GEOID,Population,Longitude,Latitude,CHAKUCW_2017,census_tract
Community area,Rogers Park,1.0,55454.0,-87.670171,42.00963,27.4,17031010700
Community area,Norwood Park,10.0,41069.0,-87.803451,41.985248,22.9,17031100300
Community area,Jefferson Park,11.0,26201.0,-87.771165,41.978836,22.5,17031110200
Community area,Forest Glen,12.0,19579.0,-87.758358,41.993938,44.2,17031120200
Community area,North Park,13.0,17522.0,-87.723578,41.983651,33.0,17031130100
Community area,Albany Park,14.0,48549.0,-87.721558,41.968078,23.8,17031140600
Community area,Portage Park,15.0,63038.0,-87.763401,41.954043,19.4,17031150300
Community area,Irving Park,16.0,51911.0,-87.723457,41.953589,24.8,17031160900
Community area,Dunning,17.0,43120.0,-87.806015,41.946522,18.8,17031170300
Community area,Montclare,18.0,14412.0,-87.798033,41.929306,18.6,17031180200
Community area,Belmont Cragin,19.0,78151.0,-87.765502,41.927275,15.2,17031190700
Community area,West Ridge,2.0,77139.0,-87.695017,42.001583,26.0,17031020600
Community area,Hermosa,20.0,24127.0,-87.734741,41.924353,17.0,17031200300
Community area,Avondale,21.0,36245.0,-87.711219,41.938673,16.1,17031210600
Community area,Logan Square,22.0,71742.0,-87.699149,41.922768,19.9,17031221300
Community area,Humboldt Park,23.0,53832.0,-87.720917,41.90008,16.5,17031231200
Community area,West Town,24.0,87942.0,-87.676358,41.901216,19.5,17031242200
Community area,Austin,25.0,96753.0,-87.763117,41.894113,19.0,17031251500
Community area,West Garfield Park,26.0,17423.0,-87.730233,41.878602,17.9,17031260700
Community area,East Garfield Park,27.0,19995.0,-87.705892,41.878923,18.4,17031271200
Community area,Near West Side,28.0,67817.0,-87.663513,41.874016,14.6,17031282400
Community area,North Lawndale,29.0,34817.0,-87.717218,41.860197,17.7,17031291100
Community area,Uptown,3.0,55120.0,-87.655899,41.965822,23.5,17031031600
Community area,South Lawndale,30.0,71402.0,-87.714,41.839091,14.9,17031301600
Community area,Lower West Side,31.0,33716.0,-87.66757,41.850277,10.6,17031311400
Community area,Loop,32.0,43440.0,-87.625194,41.878881,17.8,17031320400
Community area,Near South Side,33.0,27296.0,-87.620344,41.857196,13.8,17031330100
Community area,Armour Square,34.0,13847.0,-87.633976,41.842083,13.1,17031340400
Community area,Douglas,35.0,20292.0,-87.61868,41.835122,21.6,17031350700
Community area,Oakland,36.0,6803.0,-87.603217,41.823754,18.0,17031360400
Community area,Fuller Park,37.0,2549.0,-87.632427,41.809082,12.3,17031370300
Community area,Grand Boulevard,38.0,24586.0,-87.61786,41.812947,16.9,17031380800
Community area,Kenwood,39.0,19126.0,-87.596186,41.808918,28.0,17031390600
Community area,Lincoln Square,4.0,40412.0,-87.687513,41.975182,28.3,17031040400
Community area,Washington Park,40.0,12709.0,-87.617936,41.792356,21.9,17031400400
Community area,Hyde Park,41.0,29459.0,-87.592305,41.794088,27.5,17031411200
Community area,Woodlawn,42.0,25285.0,-87.594924,41.778877,22.1,17031421000
Community area,South Shore,43.0,51919.0,-87.57279,41.761583,23.1,17031430800
Community area,Chatham,44.0,31804.0,-87.615965,41.740206,20.1,17031440300
Community area,Avalon Park,45.0,9359.0,-87.586347,41.744197,22.0,17031450200
Community area,South Chicago,46.0,27254.0,-87.551435,41.741243,19.3,17031460200
Community area,Burnside,47.0,2514.0,-87.59647,41.728181,23.7,17031470100
Community area,Calumet Heights,48.0,13085.0,-87.57272,41.729673,20.4,17031480400
Community area,Roseland,49.0,38934.0,-87.623366,41.706588,22.3,17031490900
Community area,North Center,5.0,35150.0,-87.683839,41.947811,24.3,17031050500
Community area,Pullman,50.0,6866.0,-87.598252,41.706131,19.3,17031500200
Community area,South Deering,51.0,14125.0,-87.570058,41.690639,14.1,17031510400
Community area,East Side,52.0,21787.0,-87.534907,41.707306,15.8,17031520400
Community area,West Pullman,53.0,25940.0,-87.635745,41.67382,26.0,17031530500
Community area,Riverdale,54.0,7229.0,-87.602849,41.660137,24.7,17031540100
Community area,Hegewisch,55.0,9884.0,-87.556803,41.668188,18.5,17031550200
Community area,Garfield Ridge,56.0,35352.0,-87.764246,41.796185,12.0,17031560800
Community area,Archer Heights,57.0,14282.0,-87.726365,41.810873,8.3,17031570200
Community area,Brighton Park,58.0,45141.0,-87.698859,41.817364,12.0,17031580500
Community area,McKinley Park,59.0,15927.0,-87.6725,41.829927,15.0,17031590600
Community area,Lake View,6.0,103048.0,-87.656001,41.944236,23.6,17031062200
Community area,Bridgeport,60.0,33593.0,-87.648784,41.836151,13.0,17031600900
Community area,New City,61.0,43510.0,-87.659171,41.809017,15.6,17031610200
Community area,West Elsdon,62.0,18249.0,-87.724213,41.792977,12.7,17031620300
Community area,Gage Park,63.0,39439.0,-87.696433,41.795429,14.6,17031630400
Community area,Clearing,64.0,24519.0,-87.768517,41.779582,8.8,17031640300
Community area,West Lawn,65.0,33543.0,-87.726927,41.769774,10.7,17031650500
Community area,Chicago Lawn,66.0,55789.0,-87.695667,41.771849,18.5,17031660800
Community area,West Englewood,67.0,29899.0,-87.666598,41.775926,25.9,17031671200
Community area,Englewood,68.0,24322.0,-87.642502,41.777201,24.7,17031680900
Community area,Greater Grand Crossing,69.0,31543.0,-87.616139,41.763251,21.4,17031691000
Community area,Lincoln Park,7.0,70425.0,-87.649491,41.922696,26.3,17031071100
Community area,Ashburn,70.0,41280.0,-87.708363,41.745756,15.3,17031700400
Community area,Auburn Gresham,71.0,44959.0,-87.656305,41.744203,18.7,17031710700
Community area,Beverly,72.0,19950.0,-87.675072,41.713148,40.5,17031720300
Community area,Washington Heights,73.0,25075.0,-87.648897,41.717495,21.4,17031730400
Community area,Mount Greenwood,74.0,18633.0,-87.713189,41.694876,18.6,17031740300
Community area,Morgan Park,75.0,21714.0,-87.669062,41.689729,28.1,17031750500
Community area,Edgewater,77.0,56308.0,-87.663419,41.986719,26.3,17031030500
Community area,Near North Side,8.0,97789.0,-87.633318,41.899611,17.8,17031081000
Community area,Edison Park,9.0,11521.0,-87.81378,42.007627,23.4,17031090200
